,Name,/people/deceased_person/date_of_death,/people/person/gender,/people/person/age,/people/person/date_of_birth
95342,Gilbert Hartmann LaPiere,2012-02-07,Male,[],1923-06-29 00:00:00
95474,Franco Nicotra,1982-07-21,Male,[],1933-03-31 00:00:00
95569,Emma Tsesarskaya,1990-02-28,Female,[],1909-06-03 00:00:00
95576,Lia Orlandini,1979-06-11,Female,[],1896-01-12 00:00:00
95592,Countess Du Cello,1921-11-28,Female,[],1864-01-01 00:00:00
95595,Billy Mason,1941-01-24,Male,[],1889-04-01 00:00:00
95608,Jessica Haston,1992-07-21,Female,[],1964-10-11 00:00:00
95615,Chuck Couch,1987-12-23,Male,[],1909-05-20 00:00:00
95630,Marie Fischer,1929,Female,[],1876-01-01 00:00:00
95636,Rudolf Eisler,1926-12-14,Male,[],1873-01-07 00:00:00
95667,Hannelore Valencak,2004-04-09,Female,[],1929-01-23 00:00:00
95689,Ennio Porrino,1959-09-25,Male,[],1910-01-20 00:00:00
95707,Oscar Andriani,1987-07-17,Male,[],1905-12-28 00:00:00
95711,Elvi Lissiak,1996-02-25,Female,[],1929-07-19 00:00:00
95728,Mark Dennis,1998-05-04,Male,[],1933-09-28 00:00:00
95729,Hurley Breen,1963-09-08,Male,[],1909-01-12 00:00:00
95734,Hans Radon,1977-10-10,Male,[],1891-11-09 00:00:00
95741,Dwight Caldwell,1981-11-25,Male,[],1902-02-02 00:00:00
95765,Rudolph C. Flothow,1971-12-21,Male,[],1895-11-23 00:00:00
95802,Jean Guitton,1973-04-15,Male,[],1887-03-28 00:00:00
95814,Armando Fizzarotti,1966-02-15,Male,[],1892-02-16 00:00:00
95831,Gaspare Cataldo,1970-01-13,Male,[],1902-01-25 00:00:00
95847,Vittorio Bonos,1966,Male,[],1908-01-01 00:00:00
95848,Gianni Bonos,1956,Male,[],1907-01-01 00:00:00
95881,Monika Gabriel,2007-03-07,Female,[],1943-10-15 00:00:00
95891,Gino Filippini,1962-04-03,Male,[],1900-01-01 00:00:00
95971,Amina Pirani Maggi,1979-11-10,Female,[],1892-01-15 00:00:00
95997,Veljko Rogošić,2012-08-07,None,[],1941-07-21 00:00:00
95998,Giuseppe Maria Scotese,2002-05-19,Male,[],1916-01-26 00:00:00
96007,Francesco Izzarelli,1993-05-24,Male,[],1903-04-21 00:00:00
96012,Roberto Amoroso,1994-02-03,Male,[],1911-01-07 00:00:00
96022,Arnold Fayzilberg,1933,Male,[],1863-01-01 00:00:00
96030,Makoto Nishimura,1956-01-04,Male,[],1883-03-26 00:00:00
96033,Ernst Roters,1961-08-25,Male,[],1892-07-06 00:00:00
96051,Giulio Stival,1953-04-01,Male,[],1902-03-04 00:00:00
96067,Peter E. Kataev,1986-08-15,Male,[],1930-01-21 00:00:00
96068,Ilya E. Kataev,2009-06-20,Male,[],1939-03-02 00:00:00
96071,Fiorenzo Carpi,1997-05-21,Male,[],1918-10-19 00:00:00
96084,Edith Schollwer,2002-10-01,Female,[],1904-02-12 00:00:00
96091,Carl Jöken,1972,Male,[],1893-11-03 00:00:00
96098,Käthe Jöken-König,1968-09-27,Female,[],1905-10-24 00:00:00
96131,Toshiyuki Ichimura,1983-08-09,Male,[],1920-12-20 00:00:00
